Категория;Производитель;Артикул;Название;Характеристики;Фото;Цена розн;Цена опт;К-тво
Диски;Tech Line;TL540SW6PCD5x100ET40DIA57.1;Techline 540S W6 PCD5x100 ET40 DIA57.1;Диаметр диска:15,Разболтовка PCD:5x100,Вылет ET:40,Диаметр отверстия DIA:57.1;http://www.techlinedisk.ru/photo/disks/tech-line/tech-line-540-S.jpg;67,39;62,4;12
Диски;Tech Line;TL540SW6PCD5x112ET40DIA57.1;Techline 540S W6 PCD5x112 ET40 DIA57.1;Диаметр диска:15,Разболтовка PCD:5x112,Вылет ET:40,Диаметр отверстия DIA:57.1;http://www.techlinedisk.ru/photo/disks/tech-line/tech-line-540-S.jpg;67,39;62,4;12
Диски;Tech Line;TL545SW6PCD5x100ET40DIA57.1;Techline 545S W6 PCD5x100 ET40 DIA57.1;Диаметр диска:15,Разболтовка PCD:5x100,Вылет ET:40,Диаметр отверстия DIA:57.1;http://www.techlinedisk.ru/photo/disks/tech-line/tech-line-545-S.jpg;65,66;60,8;12
Диски;Tech Line;TL545BDW6PCD5x100ET40DIA57.1;Techline 545BD W6 PCD5x100 ET40 DIA57.1;Диаметр диска:15,Разболтовка PCD:5x100,Вылет ET:40,Диаметр отверстия DIA:57.1;http://www.techlinedisk.ru/photo/disks/tech-line/tech-line-545-BD.jpg;65,66;60,8;12
Диски;Tech Line;TL1502BDW6PCD5x114.3ET40DIA67.1;Techline 1502BD W6 PCD5x114.3 ET40 DIA67.1;Диаметр диска:15,Разболтовка PCD:5x114.3,Вылет ET:40,Диаметр отверстия DIA:67.1;http://www.techlinedisk.ru/photo/disks/tech-line/tech-line-1502-BD.jpg;58,10;53,8;12
Диски;Tech Line;TL1504SW6PCD4x100ET46DIA67.1;Techline 1504S W6 PCD4x100 ET46 DIA67.1;Диаметр диска:15,Разболтовка PCD:4x100,Вылет ET:46,Диаметр отверстия DIA:67.1;http://www.techlinedisk.ru/photo/disks/tech-line/tech-line-1504-S.jpg;63,29;58,6;12
Диски;Tech Line;TL1504BDW6PCD4x100ET46DIA67.1;Techline 1504BD W6 PCD4x100 ET46 DIA67.1;Диаметр диска:15,Разболтовка PCD:4x100,Вылет ET:46,Диаметр отверстия DIA:67.1;http://www.techlinedisk.ru/photo/disks/tech-line/tech-line-1504-BD.jpg;63,29;58,6;12
Диски;Tech Line;TL1505BDW6PCD5x100ET38DIA57.1;Techline 1505BD W6 PCD5x100 ET38 DIA57.1;Диаметр диска:15,Разболтовка PCD:5x100,Вылет ET:38,Диаметр отверстия DIA:57.1;http://www.techlinedisk.ru/photo/disks/tech-line/tech-line-1505-BD.jpg;61,78;57,2;12
Диски;Tech Line;TL1505SLW6PCD5x100ET38DIA57.1;Techline 1505SL W6 PCD5x100 ET38 DIA57.1;Диаметр диска:15,Разболтовка PCD:5x100,Вылет ET:38,Диаметр отверстия DIA:57.1;http://www.techlinedisk.ru/photo/disks/tech-line/tech-line-1505-SL.jpg;60,91;56,4;12
Диски;Tech Line;TL1506BDW6PCD4x100ET45DIA60.1;Techline 1506BD W6 PCD4x100 ET45 DIA60.1;Диаметр диска:15,Разболтовка PCD:4x100,Вылет ET:45,Диаметр отверстия DIA:60.1;http://www.techlinedisk.ru/photo/disks/tech-line/tech-line-1506-BD.jpg;61,34;56,8;12
Диски;Tech Line;TL1506BDW6PCD4x114.3ET45DIA56.6;Techline 1506BD W6 PCD4x114.3 ET45 DIA56.6;Диаметр диска:15,Разболтовка PCD:4x114.3,Вылет ET:45,Диаметр отверстия DIA:56.6;http://www.techlinedisk.ru/photo/disks/tech-line/tech-line-1506-BD.jpg;61,34;56,8;12
Диски;Tech Line;TL1506SW6PCD4x114.3ET45DIA67.1;Techline 1506S W6 PCD4x114.3 ET45DIA67.1;Диаметр диска:15,Разболтовка PCD:4x114.3,Вылет ET:45,Диаметр отверстия DIA:67.1;http://www.techlinedisk.ru/photo/disks/tech-line/tech-line-1506-S.jpg;61,34;56,8;12
Диски;Tech Line;TL1507SW6PCD4x114.3ET32DIA67.1;Techline 1507S W6 PCD4x114.3 ET32 DIA67.1;Диаметр диска:15,Разболтовка PCD:4x114.3,Вылет ET:32,Диаметр отверстия DIA:67.1;http://www.techlinedisk.ru/photo/disks/tech-line/tech-line-1507-S.jpg;61,34;56,8;12
Диски;Tech Line;TL1507BDW6PCD4x114.3ET32DIA67.1;Techline 1507BD W6 PCD4x114.3 ET32 DIA67.1;Диаметр диска:15,Разболтовка PCD:4x114.3,Вылет ET:32,Диаметр отверстия DIA:67.1;http://www.techlinedisk.ru/photo/disks/tech-line/tech-line-1507-BD.jpg;61,34;56,8;12
Диски;Tech Line;TL1507BDW6PCD4x100ET38DIA67.1;Techline 1507BD W6 PCD4x100 ET38 DIA67.1;Диаметр диска:15,Разболтовка PCD:4x100,Вылет ET:38,Диаметр отверстия DIA:67.1;http://www.techlinedisk.ru/photo/disks/tech-line/tech-line-1507-BD.jpg;61,34;56,8;12
Диски;Tech Line;TL1508BDW5.5PCD4x100ET45DIA60.1;Techline 1508BD W5.5 PCD4x100 ET45 DIA60.1;Диаметр диска:15,Разболтовка PCD:4x100,Вылет ET:45,Диаметр отверстия DIA:60.1;http://www.techlinedisk.ru/photo/disks/tech-line/tech-line-1508-BD.jpg;61,34;56,8;12
Диски;Tech Line;TL1508BDW5.5PCD4x114.3ET45DIA67.1;Techline 1508BD W5.5 PCD4x114.3 ET45 DIA67.1;Диаметр диска:15,Разболтовка PCD:4x114.3,Вылет ET:45,Диаметр отверстия DIA:67.1;http://www.techlinedisk.ru/photo/disks/tech-line/tech-line-1508-BD.jpg;61,34;56,8;12
