"№";"Изображение";"Имя";"Номер заказа";"Категория";"Базовая цена";"Итоговая Цена";"Количество";"Статус";
"1863";"http://denfish.com/img/p/0.jpg";",Воблеры,13742,Воблер IMPULS SSV-IP DD - 17 FL/0.4-0.8m/8g/90mm,,,,5,2000000105567,4.35,,160";"";"Главная";"0.000000";"0";"0";"1";
"3911";"http://denfish.com/img/p/0.jpg";",Воблеры,13769,Воблер Combek B SSV-CB DD-13 FL/0.4-1.0m/4g/50mm,,,,2,2000000107431,3.9,,144";"";"Главная";"0.000000";"0";"0";"1";
"2975";"http://denfish.com/img/p/0.jpg";",Воблеры,13652,Воблер Strike Pro Mustang Minnow 35S 1.6гр MG-015(274T),,,,7,4712511889260,3.52,,130";"";"Главная";"0.000000";"0";"0";"1";
"2039";"http://denfish.com/img/p/0.jpg";",Воблеры,13926,Воблер Jackall Tiny Fry 38S 1.5гр hl wakasagi,,,,2,4525807059830,8.39,,332";"";"Главная";"0.000000";"0";"0";"1";
"4087";"http://denfish.com/img/p/0.jpg";",Воблеры,13877,Воблер TSUNAMI  CRANK - 2  SSV-TC2  DD - 19 FL/1.8m/9g/60mm,,,,2,2000000104744,3.96,,146";"";"Главная";"0.000000";"0";"0";"1";
"1103";"http://denfish.com/img/p/0.jpg";",???????,13748,?????? Silver Stream SSV-ST DD-10 FL/0-0.2m/11g/80mm,,,,5,2000000105284,4.2,,155";"";"Главная";"0.000000";"0";"0";"1";
"3151";"http://denfish.com/img/p/0.jpg";",Воблеры,13741,Воблер IMPULS SSV-IP DD - 14 FL/0.4-0.8m/8g/90mm,,,,3,2000000105543,4.35,,160";"";"Главная";"0.000000";"0";"0";"1";
"2215";"http://denfish.com/img/p/0.jpg";",Воблеры,13542,Воблер Jackall MITTS S GREEN GOLD 28mm 1.8g,,,,1,4560212113845,5.58,,228";"";"Главная";"0.000000";"0";"0";"1";
"4263";"http://denfish.com/img/p/0.jpg";",Воблеры,14063,"Воблер DUEL HARDCORE MID CRANK 60F F1022  HAT 60мм/10г/2,5м+",,,,2,4940764410324,9.99,,368";"";"Главная";"0.000000";"0";"0";"1";
"1279";"http://denfish.com/img/p/0.jpg";",???????,13932,?????? Jackall Tiny Fry 38SP 1.5?? ghost ayu,,,,2,4525807006360,8.39,,332";"";"Главная";"0.000000";"0";"0";"1";
"3327";"http://denfish.com/img/p/0.jpg";",Воблеры,13811,Воблер Goblin  SSV-GB DD-11 FL/0.0-0.2m/8g/45mm,,,,3,2000000104973,3.8,,140";"";"Главная";"0.000000";"0";"0";"1";
"2391";"http://denfish.com/img/p/0.jpg";",Воблеры,14169,"Воблер PONTOON 21 CrackJack 48SP 48mm, 3.2gr, 0.8-1.2m",,,,2,4571115310484,6.5,,239";"";"Главная";"0.000000";"0";"0";"1";
"1455";"http://denfish.com/img/p/0.jpg";",???????,14121,"?????? YO-ZURI CRYSTAL MINNOW 70F R836 GHCR 70??/5?/ ?? 0,6?",,,,2,4940764214564,7.47,,275";"";"Главная";"0.000000";"0";"0";"1";
"3503";"http://denfish.com/img/p/0.jpg";",Воблеры,13886,Воблер TSUNAMI  CRANK - 2  SSV-TC2  DD - 24 FL/1.8m/9g/60mm,,,,1,2000000138862,3.96,,146";"";"Главная";"0.000000";"0";"0";"1";
"2567";"http://denfish.com/img/p/0.jpg";",Воблеры,13732,Воблер Triumph Pro-75 SSV-TP75 DD-22 FL/1-1.8m/13g/70mm,,,,4,2302000020841,4.9,,180";"";"Главная";"0.000000";"0";"0";"1";
"1631";"http://denfish.com/img/p/0.jpg";",???????,14303,"?????? Smith Camion Magnum SR 36mm 3,1g 01 F",,,,1,4511474142586,10.98,,449";"";"Главная";"0.000000";"0";"0";"1";
"3679";"http://denfish.com/img/p/0.jpg";",Воблеры,13677,Воблер Strike Pro Baby Pro 25F 2.0гр EG-036F(500G),,,,3,4712511856446,3.07,,113";"";"Главная";"0.000000";"0";"0";"1";
"2743";"http://denfish.com/img/p/0.jpg";",Воблеры,13520,"Воблер Jackall Diving Chubby 38мм 4,3г Mat Tiger Floating",,,,1,4525807028874,8.19,,335";"";"Главная";"0.000000";"0";"0";"1";
"1807";"http://denfish.com/img/p/0.jpg";",Воблеры,13685,Воблер Strike Pro Warted Toad 45F 5.5гр EG-097A(647G),,,,1,4712511855722,3.07,,113";"";"Главная";"0.000000";"0";"0";"1";
"3855";"http://denfish.com/img/p/0.jpg";",Воблеры,14074,"Воблер YO-ZURI L-MINNOW HEAVY WEIGHT 33S F952 HHAJ 33мм/5,5г/до 1,5м",,,,3,4940764236351,6.26,,230";"";"Главная";"0.000000";"0";"0";"1";
"2919";"http://denfish.com/img/p/0.jpg";",Воблеры,13904,Воблер AMULET  PRO SSV-AP DD - 15 FL/1.2 m/10g/60 mm,,,,10,2000000096162,3.96,,146";"";"Главная";"0.000000";"0";"0";"1";
"1983";"http://denfish.com/img/p/0.jpg";",Воблеры,13868,Воблер TSUNAMI  CRANK - 1SSV-TC1 DD - 10  FL/1.2m/8g/60mm,,,,2,2000000096537,3.96,,146";"";"Главная";"0.000000";"0";"0";"1";
"4031";"http://denfish.com/img/p/0.jpg";",Воблеры,14175,"Воблер PONTOON 21 Cheerful 34F 34mm, 1.6gr, 0.6-1.0m 070",,,,1,4571115354679,6.15,,226";"";"Главная";"0.000000";"0";"0";"1";
"1047";"http://denfish.com/img/p/0.jpg";",???????,13691,?????? TTEBO,,,,2,123456789012,1.3,,50";"";"Главная";"0.000000";"0";"0";"1";
"3095";"http://denfish.com/img/p/0.jpg";",Воблеры,13996,Воблер Jackall Chubby Minnow 35SP 2.3гр ayu,,,,1,4525807065541,9.26,,366";"";"Главная";"0.000000";"0";"0";"1";
"2159";"http://denfish.com/img/p/0.jpg";",Воблеры,13508,"Воблер Jackall Tiny Fry 50SP 50мм 2,7г HL Fry Suspending",,,,4,4525807050158,8.01,,327";"";"Главная";"0.000000";"0";"0";"1";
"4207";"http://denfish.com/img/p/0.jpg";",Воблеры,14002,Воблер Jackall Chubby Minnow 35SP 2.3гр hl silver&black,,,,2,4525807065626,9.26,,366";"";"Главная";"0.000000";"0";"0";"1";
"1223";"http://denfish.com/img/p/0.jpg";",???????,13874,?????? TSUNAMI  CRANK - 1SSV-TC1 DD - 22  FL/1.2m/8g/60mm,,,,3,2000000138749,3.96,,146";"";"Главная";"0.000000";"0";"0";"1";
"3271";"http://denfish.com/img/p/0.jpg";",Воблеры,14070,"Воблер DUEL HARDCORE SHALLOW CRANK 65F F968 MPSH 65мм/8г/0,5-1м",,,,2,4940764411208,9.51,,350";"";"Главная";"0.000000";"0";"0";"1";
"2335";"http://denfish.com/img/p/0.jpg";",Воблеры,13611,Воблер FLAGMAN Big-JT 75мм 17г 2-5m F колір 301,,,,2,2000015041010,2.87,,106";"";"Главная";"0.000000";"0";"0";"1";
"4383";"http://denfish.com/img/p/0.jpg";"CZ MultiCatch Float 16, 3g (попловок для маховой рыбалки с бамбуковой антеной)";"CZ4381";"Главная";"0.516667";"0.62";"13";"1";
"1399";"http://denfish.com/img/p/0.jpg";",???????,14060,"?????? DUEL HARDCORE MID CRANK 60F F1022  HBG 60??/10?/2,5?+",,,,2,4940764411260,9.99,,368";"";"Главная";"0.000000";"0";"0";"1";
"3447";"http://denfish.com/img/p/0.jpg";",Воблеры,13853,Воблер Golavl S SSV-GS DD-10 SI/0.5-3m/3g/35mm,,,,1,2000000105048,3.6,,132";"";"Главная";"0.000000";"0";"0";"1";
"2511";"http://denfish.com/img/p/0.jpg";",Воблеры,13702,Воблер JAXON ATRACT XTR-E 5cm E,,,,4,5900113354692,2.02,,75";"";"Главная";"0.000000";"0";"0";"1";
"1575";"http://denfish.com/img/p/0.jpg";",???????,14246,?????? Kosadaka Gravity XS 55S GT,,,,1,4921775557345,4,,147";"";"Главная";"0.000000";"0";"0";"1";
"3623";"http://denfish.com/img/p/0.jpg";",Воблеры,13923,Воблер Jackall Tiny Fry 38SP 1.5гр hl gold&black,,,,2,4525807006421,8.39,,332";"";"Главная";"0.000000";"0";"0";"1";
"2687";"http://denfish.com/img/p/0.jpg";",Воблеры,13794,Воблер VULCAN SSV-VU DD - 19 FL/1.2-1.6m/5g/45mm,,,,2,2000000137940,4.35,,160";"";"Главная";"0.000000";"0";"0";"1";
"1751";"http://denfish.com/img/p/0.jpg";",Воблеры,13628,Воблер FLAGMAN FLEXI PERCH 120S S23 31g 0-0.5m S,,,,1,2000016342017,5.05,,186";"";"Главная";"0.000000";"0";"0";"1";
"3799";"http://denfish.com/img/p/0.jpg";",Воблеры,14032,"Воблер DUEL HARDCORE MINNOW 50S F922 HOKS 50мм/3г/0,2-0,8м",,,,2,4940764227847,9.58,,353";"";"Главная";"0.000000";"0";"0";"1";
"2863";"http://denfish.com/img/p/0.jpg";",Воблеры,13876,Воблер TSUNAMI  CRANK - 2  SSV-TC2  DD - 15 FL/1.8m/9g/60mm,,,,2,2000000096759,3.96,,146";"";"Главная";"0.000000";"0";"0";"1";
"1927";"http://denfish.com/img/p/0.jpg";",Воблеры,13807,Воблер Silver Creek-Z SSV-SC-Z DD-18 FL/1.2m/4.5g/40mm,,,,1,2000000104539,382,,141";"";"Главная";"0.000000";"0";"0";"1";
"3975";"http://denfish.com/img/p/0.jpg";",Воблеры,13801,Воблер GOLAVL  PRO SSV-GP DD - 14 SI/0.6-3m/5g/45mm,,,,3,2000000096223,3.82,,140";"";"Главная";"0.000000";"0";"0";"1";
"991";"http://denfish.com/img/p/0.jpg";",???????,13634,"?????? Jaxon  HOLO SELECT TINGO 5,0cm FOM 170",,,,5,5900113247727,3.12,,115";"";"Главная";"0.000000";"0";"0";"1";
"3039";"http://denfish.com/img/p/0.jpg";",Воблеры,13684,Воблер Strike Pro Hippocampus 40F 3.0гр EG-088(IM-01)*,,,,1,4711161855892,1.73,,64";"";"Главная";"0.000000";"0";"0";"1";
"2103";"http://denfish.com/img/p/0.jpg";",Воблеры,13993,Воблер Jackall Hama-ku-ru Spider 41F 6.5гр devil char,,,,4,4525807005943,10.07,,398";"";"Главная";"0.000000";"0";"0";"1";
"4151";"http://denfish.com/img/p/0.jpg";",Воблеры,13944,Воблер Jackall Chubby 38F 4.0гр ghost g perch,,,,3,4525807067606,8.42,,333";"";"Главная";"0.000000";"0";"0";"1";
"1167";"http://denfish.com/img/p/0.jpg";",???????,13813,?????? Goblin  SSV-GB DD-13 FL/0.0-0.2m/8g/45mm,,,,2,2000000107547,3.8,,140";"";"Главная";"0.000000";"0";"0";"1";
"3215";"http://denfish.com/img/p/0.jpg";",Воблеры,13515,"Воблер Jackall Diving Chubby 38мм 4,3г HL Black",,,,1,4525807078930,8.19,,335";"";"Главная";"0.000000";"0";"0";"1";
"2279";"http://denfish.com/img/p/0.jpg";",Воблеры,14112,"Воблер YO-ZURI PIN'S MINNOW SINGLE HOOK 50S F956 ADJ 50мм/2г/до 0,5м",,,,1,4940764236658,5.63,,207";"";"Главная";"0.000000";"0";"0";"1";
"4327";"http://denfish.com/img/p/0.jpg";",Воблеры,14132,Воблер YO-ZURI SNAP BEANS(S) SET 20mm & 25mm  F237 М167 20мм/1г & 25/2г  тонущие,,,,1,4940764075813,8.01,,295";"";"Главная";"0.000000";"0";"0";"1";
"1343";"http://denfish.com/img/p/0.jpg";",???????,13999,?????? Jackall Chubby Minnow 35SP 2.3?? ghost & perch,,,,1,4525807067514,9.26,,366";"";"Главная";"0.000000";"0";"0";"1";
"3391";"http://denfish.com/img/p/0.jpg";",Воблеры,14114,"Воблер YO-ZURI PIN'S MINNOW SINGLE HOOK 50S F956 CHLT 50мм/2г/до 0,5м",,,,2,4940764236672,5.63,,207";"";"Главная";"0.000000";"0";"0";"1";
"2455";"http://denfish.com/img/p/0.jpg";",Воблеры,13673,Воблер Strike Pro Silver Sprat 40S 2.0гр EG-093JAL(IM-01)*,,,,2,4712702085594,1.77,,65";"";"Главная";"0.000000";"0";"0";"1";
"1519";"http://denfish.com/img/p/0.jpg";",???????,14188,?????? Kosadaka Host XS 70F CNT,,,,1,4921775556430,4,,147";"";"Главная";"0.000000";"0";"0";"1";
"3567";"http://denfish.com/img/p/0.jpg";",Воблеры,13631,Воблер FLAGMAN FUROR MINNOW 80F M32 10g 0-1m F,,,,2,2000016347012,2.63,,97";"";"Главная";"0.000000";"0";"0";"1";
"2631";"http://denfish.com/img/p/0.jpg";",Воблеры,13765,Воблер Combek B SSV-CB DD-12 FL/0.4-1.0m/4g/50mm,,,,2,2000000107424,3.9,,144";"";"Главная";"0.000000";"0";"0";"1";
"1695";"http://denfish.com/img/p/0.jpg";",Воблеры,13571,Воблер Jackall Squadshad 65SP 7.2гр ghost G perch,,,,2,4525807067378,10.1,,372";"";"Главная";"0.000000";"0";"0";"1";
"3743";"http://denfish.com/img/p/0.jpg";",Воблеры,13994,Воблер Jackall Hama-ku-ru Spider 41F 6.5гр black widow,,,,4,4525807040364,10.07,,398";"";"Главная";"0.000000";"0";"0";"1";
"2807";"http://denfish.com/img/p/0.jpg";",Воблеры,13847,Воблер Combek S SSV-CS DD-17 SI/0.4-0.6m/3g/35mm,,,,5,2000000105727,3.6,,132";"";"Главная";"0.000000";"0";"0";"1";
"1871";"http://denfish.com/img/p/0.jpg";",Воблеры,13750,Воблер Silver Stream SSV-ST DD-14 FL/0-0.2m/11g/80mm,,,,6,2000000105307,4.2,,155";"";"Главная";"0.000000";"0";"0";"1";
"3919";"http://denfish.com/img/p/0.jpg";",Воблеры,13773,Воблер Combek B SSV-CB DD-19 FL/0.4-1.0m/4g/50mm,,,,2,2000000105666,3.9,,144";"";"Главная";"0.000000";"0";"0";"1";
"2983";"http://denfish.com/img/p/0.jpg";",Воблеры,13656,Воблер Strike Pro Mustang Minnow 35S 1.6гр MG-015(A06E),,,,3,4712511889291,3.52,,130";"";"Главная";"0.000000";"0";"0";"1";
"2047";"http://denfish.com/img/p/0.jpg";",Воблеры,13934,Воблер Jackall Tiny Fry 38S 1.5гр mat tiger,,,,1,4525807048100,8.39,,332";"";"Главная";"0.000000";"0";"0";"1";
"4095";"http://denfish.com/img/p/0.jpg";",Воблеры,13885,Воблер TSUNAMI  CRANK - 2  SSV-TC2  DD - 22 FL/1.8m/9g/60mm,,,,2,2000000138855,3.96,,146";"";"Главная";"0.000000";"0";"0";"1";
"1111";"http://denfish.com/img/p/0.jpg";",???????,13756,?????? Triumph Pro SSV-TP DD-12 FL/0.7-1.2m/5g/50mm,,,,2,2000000096483,3.6,,135";"";"Главная";"0.000000";"0";"0";"1";
"3159";"http://denfish.com/img/p/0.jpg";",Воблеры,13745,Воблер Silver Stream SSV-ST DD-19 FL/0-0.2m/11g/80mm,,,,4,2000000105345,4.2,,155";"";"Главная";"0.000000";"0";"0";"1";
"2223";"http://denfish.com/img/p/0.jpg";",Воблеры,13562,Воблер Jackall Seiraminnow 55S 2.0гр shirasu*,,,,1,4525807051841,8.51,,313";"";"Главная";"0.000000";"0";"0";"1";
"4271";"http://denfish.com/img/p/0.jpg";",Воблеры,14071,"Воблер DUEL DINO CRANK MD F724 HBSH 55мм/12г/до 2,5м",,,,1,4940764143604,8.9,,328";"";"Главная";"0.000000";"0";"0";"1";
"1287";"http://denfish.com/img/p/0.jpg";",???????,13940,?????? Jackall Chubby 38F 4.0?? ghost purple,,,,3,4525807078831,8.42,,333";"";"Главная";"0.000000";"0";"0";"1";
"3335";"http://denfish.com/img/p/0.jpg";",Воблеры,13816,Воблер Goblin  SSV-GB DD-20 FL/0.0-0.2m/8g/45mm,,,,1,2000000105031,3.8,,140";"";"Главная";"0.000000";"0";"0";"1";
"2399";"http://denfish.com/img/p/0.jpg";",Воблеры,14173,"Воблер PONTOON 21 Alter-Idem 36SP 36mm, 2.2gr, 0.6-1.0m SR 921",,,,4,4571115329646,6.2,,228";"";"Главная";"0.000000";"0";"0";"1";
"1463";"http://denfish.com/img/p/0.jpg";",???????,14129,"?????? YO-ZURI EBA SHAD F755  SHIW 50??/4?/?? 1,5?",,,,2,4940764152347,7.86,,289";"";"Главная";"0.000000";"0";"0";"1";
"3511";"http://denfish.com/img/p/0.jpg";",Воблеры,14164,"Воблер PONTOON 21 SapShad 65F SR 65mm, 6.25gr, 0.4-0.7m 222",,,,2,4571115350978,8,,294";"";"Главная";"0.000000";"0";"0";"1";
"2575";"http://denfish.com/img/p/0.jpg";",Воблеры,14263,Воблер Kosadaka TAKAO 70 GT,,,,2,4921775554498,4.5,,166";"";"Главная";"0.000000";"0";"0";"1";
"1639";"http://denfish.com/img/p/0.jpg";",???????,14311,"?????? Smith Camion DR 32mm 2,7g 29 F",,,,2,4511474149448,8.1,,298";"";"Главная";"0.000000";"0";"";"1";
"3687";"http://denfish.com/img/p/0.jpg";",Воблеры,13966,Воблер Jackall Cherry 44F 6.2гр pearl ayu,,,,2,4525807030136,9.26,,366";"";"Главная";"0.000000";"0";"0";"1";
"2751";"http://denfish.com/img/p/0.jpg";",Воблеры,13555,Воблер Jackall PANICRA MR SUKECHA PURPLE 32mm 3.3g,,,,1,4560212121437,7.74,,316";"";"Главная";"0.000000";"0";"0";"1";
"1815";"http://denfish.com/img/p/0.jpg";",Воблеры,13693,"Воблер Attack DUGGY S, 45 мм, 3,2 г",,,,17,2000000136936,0.98,,45";"";"Главная";"0.000000";"0";"0";"1";
"3863";"http://denfish.com/img/p/0.jpg";",Воблеры,14079,"Воблер YO-ZURI L-MINNOW SINGLE HOOK 33F F955 KVBN 33мм/2,5г/до 0,5м",,,,2,4940764236627,5.63,,207";"";"Главная";"0.000000";"0";"0";"1";
"2927";"http://denfish.com/img/p/0.jpg";",Воблеры,13627,Воблер FLAGMAN FLEXI PERCH 120S 300 31g 0-0.5m S,,,,1,2000016339017,5.05,,186";"";"Главная";"0.000000";"0";"0";"1";
"1991";"http://denfish.com/img/p/0.jpg";",Воблеры,13876,Воблер TSUNAMI  CRANK - 2  SSV-TC2  DD - 15 FL/1.8m/9g/60mm,,,,2,2000000096759,3.96,,146";"";"Главная";"0.000000";"0";"0";"1";
"4039";"http://denfish.com/img/p/0.jpg";",Воблеры,13836,Воблер Vibrating-SR SSV-SR-32,,,,2,2000000097664,3.6,,132";"";"Главная";"0.000000";"0";"0";"1";
"1055";"http://denfish.com/img/p/0.jpg";",???????,13699,?????? JAXON ATRACT XTR-O 5.0cm G,,,,4,5900113338982,1.94,,75";"";"Главная";"0.000000";"0";"0";"1";
"3103";"http://denfish.com/img/p/0.jpg";",Воблеры,13716,Воблер JAXON ATRACT XTR-N 4.0cm D,,,,3,5900113307056,1.86,,75";"";"Главная";"0.000000";"0";"0";"1";
"2167";"http://denfish.com/img/p/0.jpg";",Воблеры,14051,"Воблер DUEL Aile MAGNET NEO 70F F874  FHSG 70мм/6г/max 1,0м",,,,2,4940764210481,10.1,,372";"";"Главная";"0.000000";"0";"0";"1";
"4215";"http://denfish.com/img/p/0.jpg";",Воблеры,14010,Воблер Jackall Chubby Minnow 35мм 2.3г nk kawaguchiko rainbow Suspending,,,,2,4525807063912,8.83,,366";"";"Главная";"0.000000";"0";"0";"1";
"1231";"http://denfish.com/img/p/0.jpg";",???????,13882,?????? TSUNAMI  CRANK - 2  SSV-TC2  DD - 11 FL/1.8m/9g/60mm,,,,2,2000000096711,3.96,,146";"";"Главная";"0.000000";"0";"0";"1";
"3279";"http://denfish.com/img/p/0.jpg";",Воблеры,13790,Воблер VULCAN SSV-VU DD - 17 FL/1.2-1.6m/5g/45mm,,,,7,2000000105888,4.35,,160";"";"Главная";"0.000000";"0";"0";"1";
"2343";"http://denfish.com/img/p/0.jpg";",Воблеры,14144,"Воблер PONTOON 21 GagaGoon 45S-SR 45mm, 3.5gr, 0.3-0.6m, 315",,,,2,4571115344885,6.15,,226";"";"Главная";"0.000000";"0";"0";"1";
"4391";"http://denfish.com/img/p/0.jpg";"CZ MultiCatch Float 3, 6g (для стоячей воды подходить для ночной рыбалки)";"CZ3858";"Главная";"0.550000";"0.66";"23";"1";
"1407";"http://denfish.com/img/p/0.jpg";",???????,14068,"?????? DUEL HARDCORE SHALLOW CRANK 65F F968 HSH 65??/8?/0,5-1?",,,,1,4940764237679,9.51,,350";"";"Главная";"0.000000";"0";"0";"1";
"3455";"http://denfish.com/img/p/0.jpg";",Воблеры,13601,"Воблер FLAGMAN Pike Hunter 50мм 7,6г 0-1,5m F цвет M32",,,,3,2000016263015,2.41,,89";"";"Главная";"0.000000";"0";"0";"1";
"2519";"http://denfish.com/img/p/0.jpg";",Воблеры,14235,Воблер Kosadaka VOLT XS 85F NT,,,,1,4921775558083,4,,147";"";"Главная";"0.000000";"0";"0";"1";
"1583";"http://denfish.com/img/p/0.jpg";",???????,14254,?????? Kosadaka DECOY XS 75F GT,,,,1,4921775558540,4.5,,166";"";"Главная";"0.000000";"0";"0";"1";
"3631";"http://denfish.com/img/p/0.jpg";",Воблеры,13928,Воблер Jackall Tiny Fry 38SP 1.5гр hl silver&black,,,,2,4525807052824,8.39,,332";"";"Главная";"0.000000";"0";"0";"1";
"2695";"http://denfish.com/img/p/0.jpg";",Воблеры,14322,"Воблер Smith Camion SR 32mm 2,5g 36 F",,,,1,4511474161334,9,,368";"";"Главная";"0.000000";"0";"0";"1";
"1759";"http://denfish.com/img/p/0.jpg";",Воблеры,13636,"Воблер Jaxon  HOLO SELECT TINGO 5,0cm FOG 170",,,,4,5900113363083,3.12,,115";"";"Главная";"0.000000";"0";"0";"1";
"3807";"http://denfish.com/img/p/0.jpg";",Воблеры,14041,Воблер DUEL HARDCORE NOI-Z 105F F1064 MHS 105мм/28г/ max 0.3м,,,,1,4940764419587,16.64,,574";"";"Главная";"0.000000";"0";"0";"1";
"2871";"http://denfish.com/img/p/0.jpg";",Воблеры,13880,Воблер TSUNAMI  CRANK - 2  SSV-TC2  DD - 17 FL/1.8m/9g/60mm,,,,1,2000000104720,3.96,,146";"";"Главная";"0.000000";"0";"0";"1";
"1935";"http://denfish.com/img/p/0.jpg";",Воблеры,13815,Воблер Goblin  SSV-GB DD-17 FL/0.0-0.2m/8g/45mm,,,,2,2000000105000,3.8,,140";"";"Главная";"0.000000";"0";"0";"1";
"3983";"http://denfish.com/img/p/0.jpg";",Воблеры,14151,"Воблер PONTOON 21 GagaGoon 45S-SR 45mm, 3.5gr, 0.3-0.6m, 730",,,,2,4571115344922,6.15,,226";"";"Главная";"0.000000";"0";"0";"1";
"999";"http://denfish.com/img/p/0.jpg";",???????,13642,"?????? Jaxon  HOLO SELECT TINGO 3,0cm FKZ 170",,,,2,5900113222038,2.9,,107";"";"Главная";"0.000000";"0";"0";"1";
"3047";"http://denfish.com/img/p/0.jpg";",Воблеры,13972,Воблер Jackall D Cherry 48F 7.8гр ghost ayu,,,,2,4525807005028,9.26,,366";"";"Главная";"0.000000";"0";"0";"1";
"2111";"http://denfish.com/img/p/0.jpg";",Воблеры,14001,Воблер Jackall Chubby Minnow 35SP 2.3гр ghost wakasagi,,,,2,4525807065589,9.26,,366";"";"Главная";"0.000000";"0";"0";"1";
"4159";"http://denfish.com/img/p/0.jpg";",Воблеры,13953,Воблер Jackall Squadminnow 65F 5.4гр koayu,,,,1,4525807073331,10.09,,399";"";"Главная";"0.000000";"0";"0";"1";
"1175";"http://denfish.com/img/p/0.jpg";",???????,13821,?????? SILVER  CREEK - 0  SSV-SC-0  DD - 23 FL/0.4m/4g/40mm,,,,4,2000000138213,4.22,,155";"";"Главная";"0.000000";"0";"0";"1";
"3223";"http://denfish.com/img/p/0.jpg";",Воблеры,13519,"Воблер Jackall Diving Chubby 38мм 4,3г Mat Black",,,,1,4525807078909,8.19,,335";"";"Главная";"0.000000";"0";"0";"1";
"2287";"http://denfish.com/img/p/0.jpg";",Воблеры,14116,Воблер YO-ZURI 3DS SHAD SR 65SP F957 HHPB 65мм/6г/1м,,,,2,4940764236764,7.67,,282";"";"Главная";"0.000000";"0";"0";"1";
"4335";"http://denfish.com/img/p/0.jpg";"Bull-Dog Carp Line 1000м. 0.31mm. PT 12.65kg (Леска.темно-зеленая)";"";"Лески";"0.000000";"0";"0";"1";
"1351";"http://denfish.com/img/p/0.jpg";",???????,14007,?????? Jackall Chubby Minnow 35?? 2.3? pellet orange Suspending,,,,4,4525807079821,8.83,,366";"";"Главная";"0.000000";"0";"0";"1";
"3399";"http://denfish.com/img/p/0.jpg";",Воблеры,14123,"Воблер YO-ZURI SASHIMI MID CRANK 70F R1061 CSBG 70мм/15г/1,2-1,8м",,,,2,756791405356,9.86,,363";"";"Главная";"0.000000";"0";"0";"1";
"2463";"http://denfish.com/img/p/0.jpg";",Воблеры,13677,Воблер Strike Pro Baby Pro 25F 2.0гр EG-036F(500G),,,,3,4712511856446,3.07,,113";"";"Главная";"0.000000";"0";"0";"1";
